Genus,species,Lon,Lat
Pinus,strobus,-79.5,45.016667  
Pinus,strobus,-80.38296,41.58777  
Pinus,strobus,-80.201912,40.595576  
Pinus,strobus,-73.20372,42.24592
Pinus,strobus,-85.31639,44.15056
Pinus,strobus,-85.51895,44.27048
Pinus,strobus,-76.49126,37.71514
Pinus,strobus,-86.8402,46.40175
Pinus,strobus,-87.81979,42.41863
Pinus,strobus,-84.5475,35.22101
Pinus,strobus,-77.5,46.1
Pinus,strobus,-73.86401,43.10368
Pinus,strobus,-74.27222,44.28055
Pinus,strobus,-92.45936,46.72161
Pinus,strobus,-92.93806,47.71861
Pinus,strobus,-83.18861,35.02889
Pinus,strobus,-83.56044,35.18037
Pinus,strobus,-83.51,35.09
Pinus,strobus,-83.84277,35.58483
Pinus,strobus,-82.81666,35.86666
Pinus,strobus,-70.86792,42.63887
Pinus,strobus,-72.20889,42.66833
Pinus,strobus,93.14847,35.28121
Pinus,strobus,-74.91666,41.80000 
Pinus,strobus,-71.57983,43.13416
Pinus,strobus,-75.21666,45.36666
Pinus,strobus,-70.75,47.08333
Pinus,strobus,-54.2,48.4
Pinus,strobus,-80.26667,43.5
Pinus,strobus,45.3,-75.55
Pinus,strobus,-80.41958,41.65207
Pinus,strobus,-80.06158,41.80164
Pinus,strobus,-77.84833,41.42451
Pinus,strobus,-79.42516,40.9893
Pinus,strobus,-89.62571,48.39933
Pinus,strobus,-71.89203,43.92312
Pinus,strobus,-73.07233,43.16369
Pinus,strobus,-90.34455,43.30397
Pinus,strobus,-68.67198,44.88312
Pinus,strobus,-73.6188,41.45429
Pinus,strobus,-84.79761,43.58975
Pinus,strobus,-86.08882,43.89538
Pinus,strobus,-83.18861,35.02889
Pinus,strobus,-81.90472,34.93083
Pinus,strobus,-74.05,41.16667
Pinus,strobus,-83.23732,38.12427
Pinus,strobus,-82.2937,37.28937
Pinus,strobus,-87.81979,42.41863
Pinus,strobus,-89.13661,40.35653
Pinus,strobus,-89.4631,41.99693
Pinus,strobus,-81.54906,41.19306
Pinus,strobus,-89.44861,34.7675
Pinus,strobus,-88.69282,34.28725 
Pinus,strobus,-90.25861,38.61083
Pinus,strobus,-89.55,37.31
